Topic;Question;Answer
Naruto;Who is the main protagonist of the series?;Naruto Uzumaki
Naruto;What is the name of Naruto's signature ninja technique?;Rasengan
Naruto;Which village does Naruto belong to?;Konohagakure (The Village Hidden in the Leaves)
Naruto;Who are the other two members of Naruto's original team, Team 7?;Sasuke Uchiha and Sakura Haruno
Naruto;Who is the sensei (teacher) of Team 7?;Kakashi Hatake
Naruto;What is the name of the nine-tailed fox sealed inside Naruto?;Kurama
Naruto;What is Sasuke's primary goal for most of Part I and Part II?;To kill his older brother, Itachi Uchiha
Naruto;What is a "Kage" in the Naruto universe?;The leader of one of the five great ninja villages
Naruto;Who was the Fourth Hokage, also known as the "Yellow Flash"?;Minato Namikaze
Naruto;What organization is known for its members wearing black cloaks with red clouds?;The Akatsuki
Naruto;What are the three legendary ninja, trained by the Third Hokage, called?;The Sannin (Jiraiya, Tsunade, and Orochimaru)
Naruto;What is the name of the powerful eye technique (dōjutsu) of the Uchiha clan?;Sharingan
Naruto;What does the "Chunin Exam" test for?;A ninja's qualification to be promoted to the rank of Chunin
Naruto;Who is the master of puppetry from the Sand Village who fights Kankuro?;Sasori
Naruto;What is Rock Lee's specialty, since he cannot use ninjutsu or genjutsu?;Taijutsu (Hand-to-hand combat)
Naruto;Who is the God of Shinobi and the First Hokage?;Hashirama Senju
Naruto;What is the name of Kakashi's signature, self-created jutsu?;Chidori (or Lightning Blade)
Naruto;Which Akatsuki member is a master of paper-based jutsu?;Konan
Naruto;Who is the toad sage who trained Naruto?;Jiraiya
Naruto;What is the name of the dimension Kakashi's Mangekyo Sharingan can access?;Kamui's dimension
Naruto;What is Gaara's title in the Sand Village by the time of Shippuden?;Kazekage
Naruto;What is the forbidden jutsu used to bring the dead back to life?;Edo Tensei (Reanimation Jutsu)
Naruto;Who is the main antagonist during the Pain's Assault arc?;Nagato (through his Six Paths of Pain)
Naruto;What creature does Kisame Hoshigaki resemble?;A shark
Naruto;What is the name of Shikamaru Nara's signature clan jutsu?;Shadow Imitation Technique
Naruto;What is the Byakugan?;An eye technique that grants the user a near 360-degree field of vision and the ability to see chakra pathways.
Naruto;Which character becomes the Fifth Hokage after the Third Hokage's death?;Tsunade
Naruto;Who were the two legendary founders of Konoha?;Hashirama Senju and Madara Uchiha
Naruto;What is the name of the giant sword wielded by Zabuza Momochi?;Kubikiribōchō (The Executioner's Blade)
Naruto;Which tailed beast is sealed within Gaara?;The One-Tailed Shukaku
Naruto;What is the name of Might Guy's ultimate taijutsu technique?;Night Guy (after opening the Eighth Gate)
Naruto;Who is Orochimaru's loyal and medically-skilled subordinate?;Kabuto Yakushi
Naruto;What is the name of Naruto's mother?;Kushina Uzumaki
Naruto;How did Itachi Uchiha obtain his Mangekyo Sharingan?;By witnessing the death of his best friend, Shisui Uchiha
Naruto;What are the five basic nature transformations for chakra?;Fire, Wind, Lightning, Earth, and Water
Naruto;Which member of the Akatsuki was partnered with Itachi?;Kisame Hoshigaki
Naruto;What is the name of the Infinite Tsukuyomi?;A genjutsu that traps the entire world in a dream.
Naruto;Who is the creator of ninjutsu, also known as the Sage of Six Paths?;Hagoromo Ōtsutsuki
Naruto;What food is Naruto's absolute favorite?;Ramen from Ichiraku Ramen
Naruto;What is the name of the third Great Dōjutsu, besides the Sharingan and Byakugan?;The Rinnegan
Naruto;Who killed Hiruzen Sarutobi, the Third Hokage?;Orochimaru
Naruto;What is the name of the forest where the second stage of the Chunin Exam took place?;The Forest of Death
Naruto;Who is the jinchuriki of the Eight-Tails?;Killer B
Naruto;What is the name of Sakura's inner personality?;Inner Sakura
Naruto;Which character famously says "Believe it!" (or "Dattebayo" in Japanese)?;Naruto Uzumaki
Naruto;Who is the first major antagonist Naruto and his team face?;Zabuza Momochi
Naruto;What is the Anbu?;A special assassination and tactical squad serving the village's leader directly.
Naruto;What is the name of the toad that Naruto most frequently summons?;Gamakichi
Naruto;Who is the final major antagonist of the Naruto Shippuden series?;Kaguya Ōtsutsuki
Space;What is the name of the galaxy we live in?;The Milky Way
Space;Which planet is known as the 'Red Planet'?;Mars
Space;What is the largest planet in our solar system?;Jupiter
Space;What force holds planets in orbit around the sun?;Gravity
Space;What is the name of the star at the center of our solar system?;The Sun
Space;What is a light-year?;The distance light travels in one year
Space;Which planet is closest to the Sun?;Mercury
Space;What is a large cloud of gas and dust in space called?;A nebula
Space;What is a black hole?;A region of spacetime where gravity is so strong that nothing, not even light, can escape.
Space;What was the name of the first human-made satellite launched into space?;Sputnik 1
Space;Who was the first human to travel into space?;Yuri Gagarin
Space;Who was the first person to walk on the Moon?;Neil Armstrong
Space;What is the name of the NASA mission that first landed humans on the Moon?;Apollo 11
Space;Which planet is famous for its extensive ring system?;Saturn
Space;What is an asteroid belt?;A region in space between Mars and Jupiter where most of the solar system's asteroids are found.
Space;What is the Big Bang Theory?;The leading scientific theory for how the universe began.
Space;What is the name of the largest moon of Saturn, which has a thick atmosphere?;Titan
Space;Which two planets in our solar system are known as 'ice giants'?;Uranus and Neptune
Space;What is the name of the largest volcano in our solar system, located on Mars?;Olympus Mons
Space;What is a supernova?;A powerful and luminous stellar explosion.
Space;What is a comet primarily made of?;Ice, dust, and rock
Space;What is the International Space Station (ISS)?;A habitable artificial satellite in low Earth orbit.
Space;Which dwarf planet was once considered the ninth planet in our solar system?;Pluto
